Swedish,English 
Herr White är en förnuftets man.,Mr White is a man of reason.
Herr White är en förnuftig man.,Mr White is a man of reason.
Den här gamla fisken smakar konstigt,This old fish has a strange taste.
Han finslipade en kniv.,He was sharpening a knife.
Det kommer försätta dig i fara.,That'll put you in danger.
Hon verkade inte intresserad.,She didn't seem interested.
Vi har inget socker.,We have no sugar.
Jag har aldrig varit hemma hos min farbror.,I've never been to my uncle's house.
Vi blir inte yngre.,We're not getting any younger.
Den här klänningen skrynklar sig lätt.,This dress creases easily.
Jag träffade Fred på gatan.,I met Fred on the street.
Den här kameran är tillverkad i Tyskland.,This camera was made in Germany.
Hur är det möjligt?,How is that possible?
Hon har en stuga vid havet.,She has a cottage by the sea.
Du har helt rätt.,You're absolutely right.
Ingenting saknas.,Nothing is missing.
Väggarna i det gamla huset var inte raka.,The walls in the old house were not straight.
Hennes ögon blir runda av förvåning.,Her eyes become round in surprise.
Jag presenterade mig på mötet.,I presented myself at the meeting.
Det finns många dammråttor under soffan.,There are a lot of dustballs under the couch.
Den här romanen är översatt från engelska.,This novel was translated from English.
Hans uppsats är kopplad till min.,His thesis is related to mine.
Du kanske har rätt.,You may be correct.
Ni har helt rätt.,You're absolutely right.
"Den här pojken har en stark, sund kropp.",This boy has a strong and healthy body.
Han har cancer.,He has got cancer.
Använder du droger?,Do you do drugs?
Slåss inte.,Don't fight.
Rör inte mina grejer.,Don't touch my stuff.
Den här målrätten är lämplig för tre.,This meal is adequate for three.
Vilken är din gitarr?,Which is your guitar?
Våra gudar är döda.,Our gods are dead.
Vi måste följa spelets regler.,We must abide by the rules of the game.
Vilken bra tennisspelare Tony är!,What a good tennis player Tony is!
Varför är du hemma?,Why are you home?
Tåget avgår om tio minuter.,The train leaves in ten minutes.
Hon svor högt.,She cursed loudly.
Min hund skäller hela tiden.,My dog barks all the time.
Ingen står över lagen.,No one is above the law.
John har en bil från Japan.,John has a car from Japan.
Det fanns inte en själ i sikte.,There wasn't a soul in sight.
Den här pingvinungen är så söt!,This baby penguin is too cute!
Han blödde näsblod.,His nose bled.
Varför är ni hemma?,Why are you home?
Vår fotbollsmatch kommer att skjutas upp.,Our soccer game will be postponed.
Skynda dig!,Run for it!
Båda eleverna klarade av alla prov.,Both those students passed all the tests.
Hunden heter Ken.,The dog's name is Ken.
Jag åkte till Danmark.,I went to Denmark.
Det är intressant.,It's interesting.
Sluta göra omsvep och kom till saken.,Stop beating around the bush and get to the point.
Dessa skor är tillverkade i Italien.,These shoes are made in Italy.
Alla hoppades att hon skulle vinna.,Everyone hoped that she would win.
Vi ses i morgon!,See you tomorrow!
Är din mor hemma?,Is your mother at home?
Är din mor hemma?,Is your mum at home?
Det här landet heter Ryssland.,This country is called Russia.
Titta inte på kameran.,Don't look at the camera.
Vår engelsklärare är både sträng och snäll.,Our English teacher is both strict and kind.
Vad händer i morgon?,What happens tomorrow?
Vi gick på picnic till kullen.,We went on a picnic to the hill.
Vi måste kompensera för den förlorade tiden.,We must make up for lost time.
Jag fann din dagbok.,I found your diary.
Japan är varmt och klibbigt om sommaren.,Japan is hot and sticky in summer.
Han stoppade näsduken i fickan.,He tucked the handkerchief in his pocket.
Gör det fort.,Do it quickly.
Mitt skägg växer snabbt.,My beard grows quickly.
Jag räknar på tyska.,I am counting in German.
Han går fort.,He walks fast.
Katten är under bordet.,The cat is under the table.
Jag är hälsosam.,I'm healthy.
Våran har kommit.,Spring has come.
De körde igenom flera samhällen på vägen.,They drove across several villages during the trip.
Han går i tionde klass.,He is in the tenth grade.
Det är en gammal kvinnas röst.,It's the voice of an old woman.
Jag var så lycklig på den tiden.,I was so happy back then.
Min mor tar en tupplur varje eftermiddag.,My mother takes a nap every afternoon.
Hans kropp hittades aldrig.,His body was never found.
Jag gick en konstkurs i fjol.,I took an art class last year.
Det har slutat regna.,It has stopped raining.
Jag är överraskad att du vann priset.,I'm surprised that you won the prize.
Han bor inuti ett äpple.,He lives inside an apple.
När registrerade de medlemmarnas namn?,When did they register the names of the members?
Min far besökte min farbror på sjukhuset.,Father visited my uncle in hospital.
Hon är online flera timmar varje dag.,She goes online for several hours every day.
Jag glömde boken hemma.,I forgot the book at home.
Jag måste åka till Danmark i morgon.,I have to go to Denmark tomorrow.
Jag vill drömma.,I want to dream.
Ingen människa bor i byggnaden.,No man lives in the building.
Jag försöker bara tjäna en slant.,I'm just trying to make a buck.
Jag åkte flygplan till Kyushu.,I went to Kyushu by airplane.
Flytta på dig.,Move over.
"Inga skämt, tack!",No jokes please!
Paris är en ganska dyr stad.,Paris is a rather expensive city.
Har du sovit?,Have you slept?
Jag vill vinna.,I want to win.
Katten sov på bordet.,The cat slept on the table.
Han är sällan hemma.,He is seldom home.
Det är oartigt att peka på folk.,It is rude to point at people.
Vi vill att regeringen ska tjäna hela nationen.,We want the government to serve the whole nation.
Det kommer antagligen att snöa i morgon.,It will probably snow tomorrow.
Hur hände trafikolyckan?,How did the traffic accident happen?
Vi måste flytta.,We have to move.
Kom så skakar vi mattan.,Let's shake the rug.
Jag är säker.,I'm certain.
Ser du den mustaschprydda mannen där borta?,Do you see that moustachioed man over there?
Vi ska vinna.,We'll win.
Hon kom jävligt sent.,She came damn late.
Han ägnade sig helt helhjärtat åt henne.,He devoted himself whole-heartedly to her.
Han har ingen chans att återhämta sig.,He has no chance of recovering.
Pappa är inte hemma.,Dad isn't home.
Vem springer snabbast i din klass?,Who can run fastest in your class?
Denna genomskinliga vätska innehåller gift.,This transparent liquid contains poison.
Snälla rätta mig när jag gör fel.,Please correct me when I make a mistake.
Den här produkten är tillverkad i Italien.,This product is made in Italy.
Alla verkar gilla golf.,It seems that everybody likes golf.
Den är lik.,It is similar.
Spädbarnet döptes till Alfred efter sin farfar.,The baby was named Alfred after his grandfather.
Spädbarnet döptes till Alfred efter sin morfar.,The baby was named Alfred after his grandfather.
Kan hon franska?,Does she speak French?
Katten på bordet sover.,The cat on the table is sleeping.
Katten sover på bordet.,The cat is sleeping on the table.
Han är säker på att han kommer vinna matchen.,He is certain to win the game.
Brevet är skrivet av flickan.,The letter is written by the girl.
Han har tre familjemedlemmar att försörja.,He has three dependents to support.
Han fyllde glaset med vin.,He filled the glass with wine.
Han är någonstans i parken.,He's somewhere in the park.
Jag är ekonomiskt självständig från mina föräldrar.,I am economically independent of my parents.
Jag vill vara mera självständig.,I want to be more independent.
De smyckrade upp rummet med blommor.,They adorned the room with flowers.
Jag släppte in katten i mitt rum.,I let the cat into my room.
Ditt blod är rött.,Your blood is red.
Han reflekterade över hur snabbt tiden går.,He reflected on how quickly time passes.
Lyssna på detta!,Listen to this!
Visst är det vackert väder?,"It's beautiful weather, isn't it?"
Han talar franska.,He speaks French.
Magdalena och Ania är goda vänner.,Magdalena and Ania are good friends.
"Om det regnar i morgon, stannar vi hemma.","If it is raining tomorrow, we stay at home."
Jag arbetade.,I was working.
Var finns närmaste hotell?,Where's the nearest hotel?
John är här om fem minuter.,John will be here in five minutes.
Han drack öl.,He drank beer.
Han önskade att gud skulle välsigna mig.,He prayed that God would bless me.
Finns det reserverade platser på tåget?,Are there reserved seats on the train?
En morgon såg han en söt flicka.,One morning he saw a pretty girl.
Lyssna noga är du snäll.,Please listen carefully.
Hon var klädd i svart.,She was dressed in black.
Den här dramaserien kommer att sändas imorgon.,This drama will be on the air tomorrow.
Smör görs av mjölk.,Butter is made from milk.
Mjölken kokade över.,The milk boiled over.
Talar hon franska?,Does she speak French?
Bob tittade förbi hos sin farbror.,Bob dropped in at his uncle's house.
Det haglar i regel om sommaren.,"As a rule, hail falls in summer."
Vilken skola är bäst?,Which school is the best?
Jag kan inte sjunga en ren ton.,I can't carry a tune.
Du glömde att dividera med X här.,You forgot to divide by X here.
Jag måste stryka min skjorta.,I have to iron my shirt.
Hon är grym.,She's awesome.
Jag somnade.,I fell asleep.
Öl är gott.,Beer's good.
Lättare sagt än gjort.,Easier said than done.
Flickan dricker te.,The girl is drinking tea.
Den slipsen passar dig tillsammans med din skjorta.,That tie goes well with your shirt.
Vilken sorts vin rekommenderar du?,What kind of wine do you recommend?
Du förstör alltid allting.,You always destroy everything.
Han drog förbi en vän.,He dropped in on a friend.
Det ligger affärer längs gatan.,There are stores along the street.
Är vädret fint?,Is the weather nice?
Ge mig ett halvt kilo äpplen.,Give me half a kilo of apples.
Du är röd i ansiktet.,Your face is red.
Vad är orsaken?,What's the cause?
Jag har mitt eget sovrum hemma.,I have my own bedroom at home.
Han kopplade på husvagnen på sin bil.,He attached the trailer to his car.
Bob är min vän.,Bob is my friend.
Sätt i ett mynt.,Please insert a coin.
Jag beställde nya möbler.,I ordered new furniture.
Det var ett extremt grymt krig.,It was an extremely cruel war.
Jag äter bara koscher mat.,I only eat kosher food.
Tre öl och en tequila tack!,Three beers and a tequila please!
Peka ut det.,Point it out.
Peka ut den.,Point it out.
Se dig omkring.,Look around you.
Eld är väldigt farligt.,Fire is very dangerous.
Fotboll är inte nödvändigtvist begränsat till män.,Soccer is not necessarily confined to men.
Han fjällade en fisk.,He scaled a fish.
Posta det här brevet.,Mail this letter.
Under soffan finns många dammråttor.,There are a lot of dustballs under the couch.
Igår hon köpte grönsaker.,She bought some vegetables yesterday.
Jag har faktiskt aldrig spelat golf.,I've actually never played golf.
Pojken gick vilse i skogen.,The boy lost his way in the forest.
För sent.,Too late.
Öppna flaskan.,Open the bottle.
Det tog nätt och jämnt en timme.,It took little more than an hour.
Jag gillar verkligen hårdkokta ägg.,I really like hard boiled eggs.
De försökte fly.,They attempted to escape.
Jag var hemma.,I was at home.
Kör försiktigt.,Drive carefully.
Jag fastnade.,I got stuck.
Snälla gå ut ur mitt kontor genast.,Please get out of my office immediately.
Hon befann sig på platsen för brottet.,She was on the scene of the crime.
Han var hemma.,He was at home.
Mitt hjärta blöder.,My heart is bleeding.
Våg efter våg forsade upp på stranden.,Wave after wave surged upon the beach.
Våg efter våg rullade upp på stranden.,Wave after wave surged upon the beach.
Det är Babas röst.,It's Baba's voice.
Är hon hemma?,Is she at home?
Är någon hemma?,Is anybody home?
Våg efter våg böljade in på stranden.,Wave after wave surged upon the beach.
Denna produkt är tillverkad i Italien.,This product is made in Italy.
Jag har rätt.,I'm right.
I mörkret är alla katter grå.,All cats are grey in the dark.
Jag vill veta orsaken till hans frånvaro.,I want to know the reason for his absence.
Hon valde skorna som matchar klänningen.,She picked out the shoes that match the dress.
Vilket märke gillar du?,Which brand do you prefer?
Jag fick min välförtjänta lön.,I sure had my due reward.
Snälla hjälp mig.,"Help me, please."
De vägrade låta tågen röra på sig.,They refused to let the trains move.
Gillar du golf?,Are you fond of golf?
Han kan ruttna i helvetet.,He can rot in hell.
Alla elever i klassen tycker om herr Smith.,All the students in the class like Mr. Smith.
Han har glasögon.,He wears glasses.
Vi lärde oss ryska istället för franska.,We learned Russian instead of French.
Vi är lika inför lagen.,We are equal in the eyes of the law.
Hunden är människans bästa vän.,Dog is man's best friend.
Vi hade rätt.,We were right.
Var tålmodig.,Be patient.
Han vände bort blicken.,He averted his gaze.
Min fars bil är gjord i Italien.,My father's car is made in Italy.
Han gillar indisk mat.,He likes Indian food.
Hon är lycklig.,She is happy.
Hunden blöder.,The dog is bleeding.
John spelade gitarr och hans vänner sjöng.,John played guitar and his friends sang.
Öppna din mun.,Open your mouth.
Han spelar golf.,He is playing golf.
Jag tappade kontrollen.,I lost control.
Jag tappade kontrollen.,I dropped the controller.
Snälla lugna ner dig.,Please relax.
Du har bara en chans att svara rätt.,You have only one chance to answer correctly.
Hur stor är New York Citys befolkning?,How large is the population of New York City?
Mitt skosnöre fastnade i rulltrappan.,My shoelace got caught in the escalator.
Tvätta händerna innan du äter.,Wash your hands before you eat.
Han kollade mig rakt i ansiktet.,He stared me straight in the face.
Katten klängde vid hennes klänning.,The cat clung to her dress.
Jag ogillar ägg.,I dislike eggs.
Sådan är lagen.,That's the law.
Det finns en sjö öster om byn.,There is a lake on the east of the village.
Dags att sticka.,Time to go.
Telefonen är trasig.,The phone is out of order.
Telefonen är trasig.,The telephone is broken.
Signera på raden här.,Sign on this line.
Han vann matchen tack vare sin starka vilja.,He won the game thanks to his strong will.
Denna byggnad håller på att rasa samman.,This building is about to collapse.
Titta på katten.,Look at the cat.
Jag nyser hela tiden.,I sneeze all the time.
Kärleken är till sin natur blind.,Love is by nature blind.
Tjejen är ensam.,The girl is lonely.
Frukosten serveras klockan sju.,Breakfast is served at seven a.m.
Hjälp mig lyfta paketet.,Help me lift the package.
Fåglar sjunger.,Birds sing.
Jag tål inte golf.,I can't stand golf.
Glad mors dag!,Happy Mother's Day!
Han är konstig ibland.,He's strange sometimes.
Den sjuka mannens liv är i fara.,The sick man's life is in danger.
Att flyga drake kan vara farligt.,Flying a kite can be dangerous.
Byggnaden uppe på kullen är vår skola.,The building on the hill is our school.
"Kvinnan är rik, men mannen är fattig.","The woman is rich, but the man is poor."
"Om ni sticker oss, blöda vi icke?","If you prick us, do we not bleed?"
Man måste dra gränsen någonstans.,One must draw the line somewhere.
Han torkade svetten från ansiktet.,He wiped the sweat from his face.
Rita ett streck på ditt papper.,Draw a line on your paper.
Snälla sänk volymen lite till.,Please turn down the volume a little bit more.
Jag brände pappret.,I burned the paper.
Tvätta dina händer.,Wash your hands.
Vi lovade.,We promised.
Han studerade hur fåglar flyger.,He studied how birds flew.
Sitt rakt.,Sit up straight.
Tvätta ditt ansikte.,Wash your face.
Alla studenterna i klassen gillar herr Smith.,All the students in the class like Mr. Smith.
Katten sover på soffan.,The cat is sleeping on the sofa.
Katten är på mattan.,The cat is on the mat.
Har Bob rätt?,Is Bob right?
Snälla gå ut härifrån genast.,Please get out of here immediately.
De utgör att skickligt lag.,They make a great team.
Vi planerar en resa till New York.,We are planning a trip to New York.
Han klagade över att rätten smakade dåligt.,He complained of the dish tasting bad.
Han målar inte väggarna utan tapetserar dem.,He does not paint the walls but wallpapers them.
Regler är regler.,Rules are rules.
Hela nationen sörjde hjältens död.,The whole nation mourned the hero's death.
Grekiska filosofer värderade demokrati högt.,Greek philosophers placed value on democracy.
Koka ett ägg.,Boil one egg.
"Snälla, förlåt mig.","Please, forgive me."
Hellre död än röd.,I'd rather be dead than red.
Hellre död än röd.,Rather dead than red.
Katten satt på mattan.,The cat sat on the mat.
Den långa resan förvärrade hennes skada.,The long trip aggravated her injury.
Vi besökte historiskt intressanta platser.,We visited places of historic interest.
Det rådde brist på importerad olja.,There was a shortage of imported oil.
Snälla kom.,Please come.
Den rosa kudden är ren.,The pink pillow is clean.
"Fisk, tack.","Fish, please."
Japans huvudgröda är ris.,The main crop of Japan is rice.
Den förra hyresgästen skötte lägenheten utmärkt.,The previous tenant took excellent care of her apartment.
Kärleken är blind.,Love is blind.
Snälla lämna.,Please be leaving.
Kinesisk filosofi är bäst.,Chinese philosophy is the best.
Snälla sluta!,Please stop!
Tvätta dig.,Wash up.
Hitta katten.,Find the cat.
Den finansiella situationen förvärras vecka för vecka.,The financial situation is getting worse week by week.
Vilken underbar trädgård!,What a lovely garden!
En diskret hyllning till olycksoffren hölls igår.,A discreet homage to the accident victims was carried out yesterday.
Hans skjorta var grå och slipsen gul.,His shirt was gray and the tie was yellow.
Fåglarna lägger ägg.,Birds lay eggs.
Krig är helvetet.,War is hell.
Fåglar flyger.,Birds fly.
Tiden flyger.,Time flies.
Du behöver inte vara rädd. Han kommer inte att göra dig illa.,There is no need to be frightened. He won't harm you.
Jag har en känsla på mig att hon kommer att komma idag.,I have an idea she will come today.
"Ingenting kan inte existera, för om det gjorde det så skulle det vara någonting.",Nothing can't exist because if it did it would be something.
Jag har inte ätit soppan och jag kommer inte att göra det.,I haven't eaten the soup and I won't.
"Jag kan inte läsa skrivstil, så kan du vara snäll och texta?","I can't read cursive, so could you write in block letters, please?"
Jag vet att du inte ville att Tom skulle åka in i fängelse.,I know you didn't want Tom going to jail.
Var det inte Kafka som skrev att en bok måste bli yxan för det frusna havet inom oss?,Wasn't it Kafka who wrote that a book must be the axe for the frozen sea within us?
Vi spelade schack inte så mycket för att vi gillade att spela som för att bara slå ihjäl tiden.,We played chess not so much to enjoy the game as just to kill time.
"Om du får någon tid över, använd den och gör dina läxor.","If you have any free time, use it and do your homework."
Var rädd om dina möten med andra för du vet aldrig om du bara möter personen en gång om livet.,Treasure every encounter with others because you never know if you'll meet a person just once in your lifetime.
Om det är pengar så lånar jag inte ut något sa jag kort och gott.,If it's money then I'm not lending any I said point blank.
Det är just den boken som jag har väntat så länge på för att läsa.,This is the very book that I have long wanted to read.
"Jag tänker så det knakar, men jag kan inte komma på hennes namn.","I'm trying hard, but can't think of her name."
Efter att ha misslyckats två gånger i går vill han inte försöka igen.,"Having failed twice yesterday, he doesn't want to try again."
"Oavsätt hur mycket hon äter, så går hon aldrig upp i vikt.","No matter how much she eats, she never gains weight."
Hur lång tid tar det att ta sig till Wien till fots?,How long does it take to get to Vienna on foot?
"De fortsatte att prata, till och med efter att läraren kom in.",They carried on talking even after the teacher came in.
"Säg mig vad du äter, så ska jag säga dig vad du är.","Tell me what you eat, I'll tell you what you are."
Min far är stolt över det faktum att han aldrig varit i en trafikolycka.,My father is proud of the fact that he's never been in a traffic accident.
Klockan är redan elva. Det är dags att du kommer i sängs.,It's already eleven. It's high time you were in bed.
"Jag visste att jag var tvungen att berätta sanningen för honom, men jag kunde inte förmå mig till det.","I knew I had to tell him the truth, but I couldn't bring myself to do it."
Jag ville inte spendera mer tid på att arbeta med det där projektet.,I didn't want to spend any more time working on that project.
"Hon sa att hon inte gillade den, men jag tyckte, personligen, att den var väldigt bra.","She said she didn't like it, but I thought, personally, it was very good."
"Ingen har bett dig att hålla med, men du kan väl åtminstone acceptera att det finns personer som har andra åsikter än dig?","Nobody has asked you to agree, but can't you at least accept that there are people who hold different views from you?"
"Robotarna kommer att ta över en dag, det kan du vara säker på.","The robots will gain control one day, be sure of that."
Jag tror att jag har gjort mitt; det är din tur nu.,I think I have done my bit; it's your turn now.
Han har ett tillräckligt bra omdömde för att inte låna ut pengar till dig.,He knows better than to lend you money.
Hon är nyfiken på att få reda på vem det var som skickade blommorna.,She's curious to find out who sent the flowers.
Jag tycker inte om att handla varje dag men jag måste göra det.,I dislike shopping every day but I must do so.
Jag fick slut på pengar när jag var på besök i Indien.,I ran out of money during my stay in India.
Om jag ska säga sanningen minns jag ingenting jag sa i går.,"To tell the truth, I don't remember anything I said yesterday."
"Jag hade hans namn på tungan, men jag kunde inte komma ihåg det.","His name was on the tip of my tongue, but I couldn't remember it."
Precis när hon skulle lämna affären så såg hon en vacker klänning i fönstret.,"Just as she was about to leave the store, she saw a beautiful dress in the window."
Till och med en bra dator kan inte klå dig på schack.,Even a good computer cannot beat you at chess.
"Hon säger att hon inte dejtar någon just nu, men jag tror inte på henne.","She says she's not dating anyone now, but I don't believe her."
En man som inte spenderar tid med sin familj kan inte vara en riktig man.,A man who doesn't spend time with his family cannot be a real man.
"Vänta, skojar du? Varför skulle vi vilja åka till en sådan avlägsen plats?","Hold it, are you kidding me? Why'd we wanna go to such a remote location?"
När jag frågade honom efteråt verkade det som han inte hade menat det som ett skämt.,When I asked afterwards it seems he hadn't said that as a joke.
Jag har bestämmt mig för att vara glad för det är bra för min hälsa.,I decided to be happy because it's good for my health.
Jag har väntat sen klockan sex och det är inte min tur än.,I've been waiting since six o'clock and still my turn hasn't come.
Han gick långsamt så att barnen skulle kunna klara av att följa efter.,He walked slowly so the children would be able to follow.
"Jag har fyra datorer, men två av dem är så gamla att jag inte använder dem längre.","I have four computers, but two of them are so old I don't use them anymore."
Om jag visste hennes namn och adress kunde jag skriva till henne.,"If I knew her name and address, I could write to her."
När jag väl har blivit vald ska jag göra mitt bästa för er alla som har stöttat mig!,"Once elected, I will do my best for all of you who supported me."
"Albert, jag hoppas att du kommer stå vid mig om jag hamnar i problem.","Albert, I hope you'll stand by me if I get in trouble."
När jag läste till jurist sa mina lärare åt mig att aldrig ställa en fråga som jag inte visste svaret på.,"When I was studying to become a lawyer, my teachers told me to never ask a question that I didn't know the answer to."
När jag läste till advokat sa mina lärare åt mig att aldrig ställa en fråga som jag inte visste svaret på.,"When I was studying to become a lawyer, my teachers told me to never ask a question that I didn't know the answer to."
"Jag lånade honom lite pengar, men han har inte betalat tillbaka dem än.","I lent him some money, but he hasn't returned it yet."
Jag står inte ut med tanken på att förlora dig för evigt.,I can't stand the thought of losing you forever.
Det som är svårt att stå ut med är hans överdrivna artighet.,What is hard to put up with is his over-politeness.
"Vi kan inte bevisa att Tom ljuger, men vi är ganska säkra på att han gör det.","We can't prove Tom is lying, but we're pretty sure he is."
Han har bara en tröja för resten av dom är på tvätt.,He's only got one shirt because all the rest are being washed.
Det kommer att ta tre månader för vår nya skolbyggnad att bli färdig.,It will be three months before our new school building is completed.
En av fördelarna med att bo i en demokrati är att man får säga vad man tycker och tänker.,One of the advantages of living in a democracy is that one is permitted to say whatever he thinks.
"När man har fått in en dålig vana, så är det inte enkelt att bli av med den.","Once you've formed a bad habit, you can't get rid of it easily."
Toms mamma sa alltid till honom att han borde äta mer grönsaker.,Tom's mother always told him he should eat more vegetables.
Schweiz är ett väldigt vackert land och är mycket värt att besöka.,Switzerland is a very beautiful country and well worth visiting.
"Alla djur är lika, men vissa djur är mer lika än andra.","All animals are equal, but some animals are more equal than others."
"Om inte den där gitarren vore så dyr, så skulle jag kunna köpa den.","If that guitar weren't so expensive, I could buy it."
"Själv föredrar jag vodka, men jag har inget emot att ta en likör ibland.","I prefer vodka myself, though I don't mind the occasional liqueur."
"Om det inte finns någon lösning, så finns det inte heller något problem.","If there's no solution, then there's no problem."
Skulle du kunna säga mig vilken station som ligger närmast ditt arbete är du snäll.,Please let me know the closest station to your office.
Problemet med den svenska animationsbranschen är att den i stort sett är icke-existerande.,"The problem with the Swedish animation industry is that it is, by and large, non-existent."
Då är det dags för din halshuggning. Har du inga sista ord?,"Well, it's time for your decapitation. Don't you have any last words to say?"
"Om hon bara hade vetat att jag var i Tokyo, skulle hon ha hälsat på mig.","If only she had known I was in Tokyo, she would have come to visit me."
Detta är ett litet steg för en människa men ett jättekliv för mänskligheten.,"That's one small step for man, one giant leap for mankind."
Detta är ett litet steg för en människa men ett jättekliv för mänskligheten.,"That's one small step for a man, one giant leap for mankind."
Efter klockan 11 så började gästerna att bege sig av i grupper om två och tre.,After 11 o'clock the guests began to leave by twos and threes.
"Det viktiga är inte hur en man dör, utan hur han lever.","It matters not how a man dies, but how he lives."
Den gamle mannen var inte så elak som han såg ut att vara.,The old man was not as mean as he looked.
Jag kan inte stänga av duschen. Kan du kolla det åt mig?,I can't turn the shower off. Could you check it for me?
Frågan är inte vad jag kan vinna utan vad jag har att förlora.,The key question is not what can I gain but what do I have to lose.
"Det råder ingen tvekan om att hon älskar honom, men hon vill inte gifta sig med honom.","No doubt she loves him, but she won't marry him."
Det går inte att säga hur långt vetenskapen kan ha nått till år 2100.,There is no telling how far science may have progressed by the end of the twentieth century.
Jag har hållit på att skriva det här manuskriptet i ett år.,I have been writing this manuscript for a year.
Jag gillar att ta mitt block och min penna och åka till kusten för att skissa.,I like to take my pad and pencil and drive to the seashore to sketch.
"Ju mer du lär känna henne, desto mer kommer du att gilla henne.","The more you get to know her, the more you'll like her."
Inatt var det väldigt varmt och kvavt och jag sov inget vidare.,Last night was very hot and muggy and I didn't sleep very well.
"Jag hittade en lösning, men jag hittade den så fort att det inte kan vara den rätta.","I found a solution, but I found it so fast that it can't be the right solution."
"Jag skulle vilja förbättra min franska, men Jag får inte tid med.",I would like to improve my French but I really have no time.
Jag kommer inte att glömma bort din vänlighet så länge jag lever.,I will never forget your kindness as long as I live.
Det här är ett sådant enkelt problem så att vilken elev som helst kan lösa det.,This is such an easy problem that any student can solve it.
Det var Herr Smith som berättade för mig hur man använde den maskinen.,It was Mr Smith that told me how to use that machine.
Hon fick en stor summa pengar i förskott för hennes nästa roman.,She received a large advance for her next novel.
Trots att jag har läst engelska 6 år i skolan talar jag det inte bra.,"Even though I studied English for 6 years in school, I'm not good at speaking it."
Hur många självmord tror du att det sker varje år i Japan?,How many suicides do you think there are every year in Japan?
Byggdes den här muren för att hålla folk ute eller för att hålla dem inne?,Was this wall built to keep people out or to keep them in?
Jag lyckas inte stänga duschen. Kan du kolla på det åt mig?,I can't turn the shower off. Could you check it for me?
Jag är trött eftersom jag var tvungen att plugga inför ett prov igår natt.,I am tired because I had to study for this exam last night.
Jag ställer alarmklockan så att jag inte kommer för sent till jobbet imorgon.,I will set up my alarm o’clock in case I arrive at work late in the morning.
Om din chef plundrar dig betyder det att du har blivit avskedad.,"If your boss sacks you, it means you're fired."
Byggdes denna mur för att hålla människor ute eller för att hålla dem inne?,Was this wall built to keep people out or to keep them in?
Du kommer gilla honom så fort du fått chansen att prata med honom.,You'll like him once you've had a chance to talk to him.
Han bestämde sig inte för att bli författare förrän han var trettio.,He did not decide to be a writer until he was thirty.
Jag är på ett gräsligt humör i dag för jag har inte tillräckligt med pengar.,I’m in a terrible mood today because I don’t have enough money.
Jag stannade hemma i går kväll för att kunna ta emot ditt samtal.,I stayed home last night to be able to receive your call.
"Din engelska är grammatikalisk, men ibland låter det som du säger bara inte som någonting som en modersmålstalare skulle säga.","Your English is grammatically correct, but sometimes what you say just doesn't sound like what a native speaker would say."
Det är väldigt svårt att säga vilket land en person kommer ifrån.,It is very hard to tell what country a person comes from.
Hela dagen var min pappa på dåligt humör för att han tappat bort sin plånbok.,All that day my father was out of humor because he had lost his wallet.
Jag har en vän vars far är kapten på ett stort skepp.,I have a friend whose father is the captain of a big ship.
"Om jag då hade kunnat tala franska, hade jag inte fått några problem.","If I'd been able to speak French then, I wouldn't have gotten into trouble."
Jag älskar doften av papper när man slår upp en gammal bok.,I love the smell the pages of an old book give off when you open it.
Han var inne i sina egna tanker med handen över hans panna.,He was lost in thought with his hand on his forehead.
"Förlåt för att jag stör, men min bil är trasig, skulle du kunna hjälpa mig?","Sorry to trouble you, but my car is broken, can you help me?"
Tom kan inte sitta i bilen längre än tio minuter innan han blir åksjuk.,Tom can't be in the car more than ten minutes or he gets sick.
Det enda gången då folk inte tycker om skvaller är när du skvallrar om någonting om dem.,The only time people dislike gossip is when you gossip about them.
Det stod i tidningen att ännu ett krig har brutit ut i Afrika.,The newspaper said another war broke out in Africa.
Den här boken är för mig vad Bibeln är för dig.,This book is to me what the Bible is to you.
Jag var missnöjd över att det fanns så lite att göra.,I was disappointed at there being so little to do.
Jag har en katt och en hund. Katten är svart och hunden är vit.,I have a cat and a dog. The cat is black and the dog is white.
Jag har en katt och en hund. Katten är svart och hunden är vit.,I have a cat and a dog. The cat's black and the dog's white.
Som pojke brukade jag ligga på gräset och titta på de vita molnen.,"As a boy, I used to lie on my back on the grass and look at white clouds."
"Det är inte en fru jag vill ha, utan en knullkompis.","It's not a wife that I want, but a sex friend."
Hur står det till? Jag har inte sett dig på evigheter!,How are you doing? I haven't seen you in ages!
Han var så modig att han inte var rädd för någonting.,Such was his courage that he feared no danger.
Folk ändras. Det finns inte mycket du kan göra åt det.,People change. There's not much you can do about it.
"De stack vid klockan 5, så de borde vara hemma vid 6.","They left at 5 o'clock, so they ought to be home by 6."
Jag tycker att det är tragiskt att inte ha några vänner.,I think it's sad to not have any friends.
En man kom fram till mig och bad om en tändsticka.,A man came up to me and asked for a match.
Känner du någon som var på det där skeppet som sjönk?,Do you know anyone who was on that ship that sunk?
Det här är ett postkontor och det där är en bank.,This is a post office and that is a bank.
"Barn dricker mer vatten, äter mer mat och andas mer luft per kilogram kroppsvikt än vuxna.","Children drink more water, eat more food and breathe more air per kilogram of body weight than adults."
Jag är inte mannen som du en gång kännde mig som.,I am not the man I was when you knew me first.
Det var du som föreslog att vi skulle se den filmen.,It was you that suggested seeing that movie.
